aircraft_id,registration,model,manufacturer,icao_type_code,owner
429,HZ-AQH,Airbus A330-300,Airbus,A330-300,Saudi Arabian
430,A6-FKI,Boeing 737 MAX 8,Boeing,737,flydubai
431,A6-BLQ,Boeing 787-9,Boeing,787-9,Etihad
432,A6-AOW,Airbus A320,Airbus,A320,Air Arabia
433,A6-EPE,Boeing 777,Boeing,777,Emirates
434,VT-IXZ,ATR 72,ATR,72,IndiGo
435,VT-ISN,Airbus A320 NEO,Airbus,A320,IndiGo
436,VT-BXZ,Boeing 737 MAX 8,Boeing,737,Air India Express
437,VT-IIS,Airbus A320 NEO,Airbus,A320,IndiGo
438,VT-ITO,Airbus A320 (Sharklets),Airbus,A320,IndiGo
439,VT-IIO,Airbus A320 NEO,Airbus,A320,IndiGo
440,A9C-CF,Airbus A321,Airbus,A321,Gulf Air
441,VT-IYL,ATR 72,ATR,72,IndiGo
442,VT-IST,Airbus A320 NEO,Airbus,A320,IndiGo
443,VT-BXC,Boeing 737,Boeing,737,Air India Express
444,VT-IID,Airbus A320 NEO,Airbus,A320,IndiGo
445,G-YMMK,Boeing 777-200,Boeing,777-200,British Airways
446,VT-AIX,ATR 72,ATR,72,Alliance Air
447,VT-IYJ,ATR 72,ATR,72,IndiGo
448,VT-IYK,ATR 72,ATR,72,IndiGo
449,VT-IYY,ATR 72,ATR,72,IndiGo
450,VT-IRD,ATR 72,ATR,72,IndiGo
451,VT-IYO,ATR 72,ATR,72,IndiGo
452,VT-ITZ,Airbus A320 NEO,Airbus,A320,IndiGo
453,VT-TNR,Airbus A321 (Sharklets),Airbus,A321,Air India
454,VT-IUF,Airbus A321 NEO,Airbus,A321,IndiGo
455,VT-IZH,Airbus A320 NEO,Airbus,A320,IndiGo
456,VT-IFR,Airbus A320 (Sharklets),Airbus,A320,IndiGo
457,VT-ISM,Airbus A320 NEO,Airbus,A320,IndiGo
458,A6-EIY,Airbus A320 (Sharklets),Airbus,A320,Etihad
459,VT-IVA,Airbus A320 NEO,Airbus,A320,IndiGo
460,9V-MBJ,Boeing 737-800,Boeing,737-800,Singapore
461,HS-BBB,Airbus A320,Airbus,A320,Thai AirAsia
462,VT-IJY,Airbus A320 NEO,Airbus,A320,IndiGo
463,A6-FKP,Boeing 737,Boeing,737,flydubai
464,HS-TXK,Airbus A320 (Sharklets),Airbus,A320,Thai Airways International
465,VT-ISL,Airbus A320 NEO,Airbus,A320,IndiGo
466,HS-LGL,Boeing 737-800,Boeing,737-800,Thai Lion Air
467,A6-EIT,Airbus A320 (Sharklets),Airbus,A320,Etihad
468,VT-SCM,Airbus A319,Airbus,A319,Air India
469,VT-IYD,ATR 72,ATR,72,IndiGo
470,VT-IZE,Airbus A320,Airbus,A320,IndiGo
471,VT-RKC,ATR 72,ATR,72,Alliance Air
472,VT-BOM,Airbus A320,Airbus,A320,Air India Express
473,A5-DOR,Airbus A319,Airbus,A319,Bhutan
474,VT-IVB,Airbus A320 NEO,Airbus,A320,IndiGo
475,VT-IIQ,Airbus A320 NEO,Airbus,A320,IndiGo
476,A6-EIH,Airbus A320,Airbus,A320,Etihad
477,9V-SHM,Airbus A350-900,Airbus,A350-900,Singapore
478,9M-AGA,Airbus A320 (Sharklets),Airbus,A320,AirAsia
479,VT-IAR,Airbus A320,Airbus,A320,IndiGo
480,VN-A676,Airbus A320,Airbus,A320,VietJetAir
481,VN-A699,Airbus A320,Airbus,A320,VietJetAir
482,HS-TXE,Airbus A320,Airbus,A320,Thai  International
483,A7-AHC,Airbus A320,Airbus,A320,Qatar
484,9K-AKL,Airbus A320 NEO,Airbus,A320,Kuwait
485,A6-EIX,Airbus A320 (Sharklets),Airbus,A320,Etihad
486,VT-IYB,ATR 72,ATR,72,IndiGo
487,9K-CBB,Airbus A321 (Sharklets),Airbus,A321,Jazeera
488,VT-ISV,Airbus A320 NEO,Airbus,A320,IndiGo
489,VT-SLM,Boeing 737-800,Boeing,737-800,SpiceJet
490,VT-BDM,Boeing 757-200,Boeing,757-200,Blue Dart Aviation
491,VT-AXR,Boeing 737-800,Boeing,737-800,Air India Express
492,A6-AEF,Airbus A321,Airbus,A321,Etihad
493,9V-MBL,Boeing 737 MAX 8,Boeing,737,Singapore
494,VT-EXF,Airbus A321 (Sharklets),Airbus,A321,Air India
495,HS-CBB,Airbus A320 (Sharklets),Airbus,A320,Thai AirAsia
496,9M-AJE,Airbus A320 (Sharklets),Airbus,A320,AirAsia
497,VN-A650,Airbus A320,Airbus,A320,VietJetAir
498,9M-LNV,Boeing 737-800,Boeing,737-800,Malindo Air
499,HS-TXO,Airbus A320,Airbus,A320,Thai  International
500,VT-EXK,Airbus A320 (Sharklets),Airbus,A320,Air India
501,9V-MBA,Boeing 737,Boeing,737,Singapore
502,9K-AKR,Airbus A320 NEO,Airbus,A320,Kuwait
503,A6-AUK,Airbus A320,Airbus,A320,Air Arabia Abu Dhabi
504,A9C-AF,Airbus A320,Airbus,A320,Gulf Air
505,VT-IVZ,Airbus A320 NEO,Airbus,A320,IndiGo
506,VT-AXW,Boeing 737-800,Boeing,737-800,Air India Express
507,A6-AEE,Airbus A321,Airbus,A321,Etihad Airways
508,VT-AXQ,Boeing 737-800,Boeing,737-800,Air India Express
509,A6-FKO,Boeing 737,Boeing,737,flydubai
510,VT-AYC,Boeing 737-800,Boeing,737-800,Air India Express
511,VT-GHI,Boeing 737-800,Boeing,737-800,Air India Express
512,9K-APF,Airbus A330,Airbus,A330,Kuwait
513,A9C-CD,Airbus A321,Airbus,A321,Gulf Air
514,VT-AXX,Boeing 737-800,Boeing,737-800,Air India Express
515,A9C-XA,Airbus A321 NEO,Airbus,A321,Gulf Air
516,VT-IIL,Airbus A320 NEO,Airbus,A320,IndiGo
517,VT-IAQ,Airbus A320 (Sharklets),Airbus,A320,IndiGo
518,VT-IPC,Airbus A320 NEO,Airbus,A320,IndiGo
519,VT-YAQ,Boeing 737,Boeing,737,Starlight Airline
520,HS-BBY,Airbus A320 (Sharklets),Airbus,A320,Thai AirAsia
521,VT-IKP,Airbus A320,Airbus,A320,IndiGo
522,VT-KTM,Airbus A320,Airbus,A320,Air India Express
523,A6-EIP,Airbus A320,Airbus,A320,Etihad
524,VT-GHF,Boeing 737-800,Boeing,737-800,Air India Express
525,9V-TRO,Airbus A320,Airbus,A320,Scoot
526,9K-AKT,Airbus A320 NEO,Airbus,A320,Kuwait
527,A9C-AE,Airbus A320,Airbus,A320,Gulf Air
528,9M-AGH,Airbus A320,Airbus,A320,AirAsia
